onset	duration	trial_type	value	sample	triallength
2.0	3.0	right_hand	4	2000	6.04
13.041	3.0	left_hand	2	13041	6.04
31.203	3.0	right_hand	4	31203	6.04
49.525	3.0	right_hand	4	49525	4.64
65.887	3.0	left_hand	2	65887	4.68
75.568	3.0	left_hand	2	75568	3.56
84.129	3.0	right_hand	4	84129	4.96
94.09	3.0	left_hand	2	94090	6.04
118.213	3.0	right_hand	4	118213	3.8
127.014	3.0	right_hand	4	127014	6.04
138.055	3.0	left_hand	2	138055	6.04
149.096	3.0	right_hand	4	149096	6.04
160.137	3.0	left_hand	2	160137	6.04
171.178	3.0	left_hand	2	171178	6.04
182.219	3.0	right_hand	4	182219	6.04
193.26	3.0	right_hand	4	193260	4.2
202.461	3.0	left_hand	2	202461	6.04
219.303	3.0	right_hand	4	219303	3.76
228.064	3.0	right_hand	4	228064	6.04
246.985	3.0	right_hand	4	246985	6.04
258.026	3.0	left_hand	2	258026	6.04
269.067	3.0	right_hand	4	269067	6.04
280.108	3.0	left_hand	2	280108	6.04
305.111	3.0	left_hand	2	305111	6.04
329.634	3.0	left_hand	2	329634	6.04
340.675	3.0	right_hand	4	340675	5.64
351.316	3.0	left_hand	2	351316	5.76
362.077	3.0	left_hand	2	362077	6.04
380.119	3.0	right_hand	4	380119	3.24
388.36	3.0	left_hand	2	388360	6.04
399.401	3.0	right_hand	4	399401	6.04
410.442	3.0	left_hand	2	410442	6.04
421.483	3.0	right_hand	4	421483	3.8
430.284	3.0	left_hand	2	430284	4.32
439.605	3.0	left_hand	2	439605	6.04
450.646	3.0	right_hand	4	450646	6.04
461.687	3.0	left_hand	2	461687	4.76
471.448	3.0	right_hand	4	471448	6.04
482.488	3.0	left_hand	2	482488	6.04
493.529	3.0	right_hand	4	493529	6.04
504.57	3.0	right_hand	4	504570	6.04
515.611	3.0	left_hand	2	515611	6.04
533.893	3.0	left_hand	2	533893	4.96
543.854	3.0	right_hand	4	543854	6.04
554.895	3.0	left_hand	2	554895	3.48
563.376	3.0	right_hand	4	563376	4.28
579.338	3.0	right_hand	4	579338	6.04
590.379	3.0	left_hand	2	590379	4.92
600.3	3.0	left_hand	2	600300	3.0
608.301	3.0	right_hand	4	608301	6.04
619.342	3.0	left_hand	2	619342	6.04
630.383	3.0	right_hand	4	630383	3.16
646.105	3.0	left_hand	2	646105	5.92
657.026	3.0	left_hand	2	657026	6.04
668.067	3.0	right_hand	4	668067	5.68
678.748	3.0	right_hand	4	678748	6.04
689.789	3.0	left_hand	2	689789	4.76
699.55	3.0	left_hand	2	699550	6.04
717.952	3.0	right_hand	4	717952	6.04
736.513	3.0	rest	3	736513	4.88
753.075	3.0	rest	3	753075	4.72
762.796	3.0	rest	3	762796	6.04
773.837	3.0	both_hand	1	773837	6.04
798.48	3.0	rest	3	798480	6.04
823.563	3.0	both_hand	1	823563	4.76
840.725	3.0	both_hand	1	840725	4.48
850.206	3.0	both_hand	1	850206	3.12
866.208	3.0	both_hand	1	866208	4.52
882.57	3.0	both_hand	1	882570	3.16
903.453	3.0	both_hand	1	903453	3.84
944.778	3.0	both_hand	1	944778	5.88
963.46	3.0	rest	3	963460	6.04
989.423	3.0	rest	3	989423	6.04
1007.465	3.0	rest	3	1007465	4.88
1041.31	3.0	rest	3	1041310	3.32
1049.631	3.0	rest	3	1049631	6.04
