onset	duration	trial_type	value	sample	triallength
2.0	3.0	right_hand	4	2000	6.04
19.162	3.0	right_hand	4	19162	6.04
30.203	3.0	left_hand	2	30203	6.04
41.244	3.0	left_hand	2	41244	4.52
50.765	3.0	right_hand	4	50765	6.04
61.806	3.0	right_hand	4	61806	3.44
70.247	3.0	left_hand	2	70247	5.2
80.448	3.0	left_hand	2	80448	6.04
91.489	3.0	right_hand	4	91489	3.76
100.25	3.0	right_hand	4	100250	6.04
118.732	3.0	left_hand	2	118732	6.04
129.773	3.0	right_hand	4	129773	5.8
140.574	3.0	right_hand	4	140574	3.92
149.495	3.0	left_hand	2	149495	6.04
160.536	3.0	left_hand	2	160536	6.04
171.577	3.0	right_hand	4	171577	6.04
182.618	3.0	left_hand	2	182618	3.68
191.299	3.0	right_hand	4	191299	4.72
201.02	3.0	left_hand	2	201020	6.04
218.382	3.0	left_hand	2	218382	4.2
227.583	3.0	right_hand	4	227583	6.04
238.624	3.0	left_hand	2	238624	6.04
249.664	3.0	right_hand	4	249664	3.6
263.866	3.0	left_hand	2	263866	6.04
274.907	3.0	left_hand	2	274907	5.2
285.108	3.0	right_hand	4	285108	6.04
316.552	3.0	left_hand	2	316552	6.04
334.834	3.0	right_hand	4	334834	3.68
343.515	3.0	right_hand	4	343515	6.04
354.556	3.0	left_hand	2	354556	6.04
373.038	3.0	right_hand	4	373038	6.04
384.079	3.0	right_hand	4	384079	4.36
401.401	3.0	left_hand	2	401401	4.96
411.362	3.0	right_hand	4	411362	6.04
429.044	3.0	left_hand	2	429044	3.64
445.606	3.0	left_hand	2	445606	4.08
454.687	3.0	right_hand	4	454687	3.12
491.011	3.0	left_hand	2	491011	6.04
502.052	3.0	left_hand	2	502052	5.4
518.374	3.0	left_hand	2	518374	6.04
529.415	3.0	right_hand	4	529415	5.76
553.818	3.0	left_hand	2	553818	6.04
564.859	3.0	right_hand	4	564859	6.04
575.9	3.0	right_hand	4	575900	5.92
594.502	3.0	right_hand	4	594502	4.76
611.304	3.0	right_hand	4	611304	6.04
622.345	3.0	left_hand	2	622345	6.04
633.386	3.0	right_hand	4	633386	4.24
656.949	3.0	left_hand	2	656949	3.28
665.23	3.0	right_hand	4	665230	6.04
676.271	3.0	left_hand	2	676271	3.76
685.032	3.0	left_hand	2	685032	3.84
701.393	3.0	rest	3	701393	6.0
712.394	3.0	rest	3	712394	6.04
731.196	3.0	rest	3	731196	3.32
739.517	3.0	both_hand	1	739517	6.04
750.558	3.0	both_hand	1	750558	4.84
779.962	3.0	both_hand	1	779962	5.32
790.283	3.0	rest	3	790283	3.88
805.205	3.0	both_hand	1	805205	5.72
836.329	3.0	both_hand	1	836329	4.84
846.17	3.0	rest	3	846170	5.68
856.851	3.0	both_hand	1	856851	3.84
872.453	3.0	both_hand	1	872453	6.04
910.857	3.0	both_hand	1	910857	5.12
935.14	3.0	rest	3	935140	3.84
943.981	3.0	both_hand	1	943981	6.04
955.022	3.0	rest	3	955022	6.04
966.063	3.0	both_hand	1	966063	4.6
1024.471	3.0	rest	3	1024471	6.04
1035.512	3.0	both_hand	1	1035512	5.24
1058.795	3.0	both_hand	1	1058795	3.04
1066.836	3.0	rest	3	1066836	3.48
1075.317	3.0	both_hand	1	1075317	4.52
1098.88	3.0	both_hand	1	1098880	4.4
1151.366	3.0	both_hand	1	1151366	3.6
1159.967	3.0	rest	3	1159967	3.52
1182.21	3.0	rest	3	1182210	6.04
1208.773	3.0	rest	3	1208773	5.12
1232.456	3.0	rest	3	1232456	3.92
1241.377	3.0	both_hand	1	1241377	6.04
1267.1	3.0	both_hand	1	1267100	6.04
1278.141	3.0	rest	3	1278141	6.04
1289.182	3.0	both_hand	1	1289182	5.4
1304.824	3.0	both_hand	1	1304824	4.04
1334.147	3.0	rest	3	1334147	6.04
1345.188	3.0	left_hand	2	1345188	3.48
1353.669	3.0	both_hand	1	1353669	4.0
1362.67	3.0	right_hand	4	1362670	5.96
1388.153	3.0	left_hand	2	1388153	4.8
1405.515	3.0	rest	3	1405515	4.2
1414.716	3.0	both_hand	1	1414716	4.2
1423.917	3.0	right_hand	4	1423917	4.44
1446.68	3.0	left_hand	2	1446680	4.8
1463.162	3.0	right_hand	4	1463162	4.56
1472.723	3.0	rest	3	1472723	3.44
1500.927	3.0	both_hand	1	1500927	5.0
1523.049	3.0	left_hand	2	1523049	3.6
1531.65	3.0	both_hand	1	1531650	3.0
1555.493	3.0	left_hand	2	1555493	6.04
1614.021	3.0	right_hand	4	1614021	4.76
1630.183	3.0	left_hand	2	1630183	5.8
1670.868	3.0	left_hand	2	1670868	3.24
1679.109	3.0	right_hand	4	1679109	5.52
1689.63	3.0	both_hand	1	1689630	3.16
1716.673	3.0	left_hand	2	1716673	6.04
1733.435	3.0	rest	3	1733435	3.76
1755.958	3.0	both_hand	1	1755958	4.28
1771.44	3.0	rest	3	1771440	6.04
