onset	duration	trial_type	value	sample	triallength
2.0	3.0	left_hand	2	2000	6.04
13.041	3.0	right_hand	4	13041	5.36
52.526	3.0	left_hand	2	52526	3.64
61.167	3.0	right_hand	4	61167	4.52
70.688	3.0	right_hand	4	70688	4.0
79.689	3.0	left_hand	2	79689	6.04
90.73	3.0	right_hand	4	90730	6.04
119.454	3.0	left_hand	2	119454	6.04
130.495	3.0	right_hand	4	130495	4.96
147.297	3.0	left_hand	2	147297	6.04
165.859	3.0	right_hand	4	165859	5.44
176.3	3.0	right_hand	4	176300	4.44
185.741	3.0	left_hand	2	185741	6.04
196.782	3.0	left_hand	2	196782	6.04
207.823	3.0	right_hand	4	207823	4.0
224.624	3.0	right_hand	4	224624	6.04
242.906	3.0	right_hand	4	242906	5.08
252.987	3.0	left_hand	2	252987	5.24
270.029	3.0	right_hand	4	270029	6.04
281.07	3.0	left_hand	2	281070	6.04
292.111	3.0	left_hand	2	292111	3.64
308.713	3.0	left_hand	2	308713	3.0
328.556	3.0	right_hand	4	328556	3.36
336.917	3.0	right_hand	4	336917	6.04
347.958	3.0	left_hand	2	347958	5.72
358.679	3.0	right_hand	4	358679	5.84
376.601	3.0	left_hand	2	376601	4.04
385.642	3.0	right_hand	4	385642	4.96
395.603	3.0	right_hand	4	395603	3.44
404.044	3.0	left_hand	2	404044	6.04
415.085	3.0	right_hand	4	415085	6.04
433.487	3.0	right_hand	4	433487	3.6
442.088	3.0	left_hand	2	442088	3.48
455.809	3.0	right_hand	4	455809	6.04
473.011	3.0	left_hand	2	473011	5.44
483.452	3.0	left_hand	2	483452	3.72
492.173	3.0	right_hand	4	492173	6.04
503.214	3.0	right_hand	4	503214	6.04
514.255	3.0	left_hand	2	514255	3.76
529.617	3.0	right_hand	4	529617	6.04
547.979	3.0	left_hand	2	547979	6.04
559.02	3.0	right_hand	4	559020	6.04
570.061	3.0	left_hand	2	570061	4.6
579.662	3.0	left_hand	2	579662	6.04
590.703	3.0	right_hand	4	590703	6.04
601.744	3.0	right_hand	4	601744	6.04
625.907	3.0	right_hand	4	625907	6.04
636.948	3.0	left_hand	2	636948	3.96
645.909	3.0	right_hand	4	645909	5.32
668.152	3.0	right_hand	4	668152	6.04
768.005	3.0	rest	3	768005	4.72
777.726	3.0	rest	3	777726	6.04
788.767	3.0	both_hand	1	788767	3.4
797.168	3.0	both_hand	1	797168	6.04
814.85	3.0	both_hand	1	814850	6.04
838.173	3.0	rest	3	838173	3.12
886.059	3.0	both_hand	1	886059	4.56
902.621	3.0	rest	3	902621	6.04
913.662	3.0	both_hand	1	913662	3.56
922.223	3.0	both_hand	1	922223	6.04
933.264	3.0	rest	3	933264	6.04
944.305	3.0	rest	3	944305	6.04
1010.634	3.0	both_hand	1	1010634	6.04
1021.675	3.0	both_hand	1	1021675	6.04
1052.959	3.0	rest	3	1052959	4.04
1062.0	3.0	both_hand	1	1062000	4.12
1091.243	3.0	rest	3	1091243	4.32
1106.005	3.0	rest	3	1106005	3.04
1127.968	3.0	rest	3	1127968	5.72
1152.091	3.0	both_hand	1	1152091	3.16
1178.895	3.0	rest	3	1178895	4.52
1188.416	3.0	rest	3	1188416	6.04
1199.457	3.0	both_hand	1	1199457	6.04
1210.498	3.0	both_hand	1	1210498	3.92
1219.419	3.0	rest	3	1219419	6.04
1230.46	3.0	rest	3	1230460	5.96
1247.902	3.0	rest	3	1247902	5.4
1258.303	3.0	both_hand	1	1258303	5.88
1310.029	3.0	right_hand	4	1310029	4.16
1319.19	3.0	left_hand	2	1319190	3.04
1332.512	3.0	left_hand	2	1332512	3.04
1358.716	3.0	both_hand	1	1358716	6.04
1369.757	3.0	left_hand	2	1369757	6.04
1386.319	3.0	right_hand	4	1386319	3.64
1407.882	3.0	both_hand	1	1407882	3.0
1415.883	3.0	left_hand	2	1415883	3.68
1424.564	3.0	both_hand	1	1424564	4.04
1471.57	3.0	right_hand	4	1471570	5.4
1481.971	3.0	left_hand	2	1481971	6.04
1493.012	3.0	rest	3	1493012	3.04
1501.053	3.0	both_hand	1	1501053	4.96
1516.815	3.0	left_hand	2	1516815	6.04
1535.777	3.0	both_hand	1	1535777	5.76
1546.538	3.0	right_hand	4	1546538	5.36
1572.621	3.0	right_hand	4	1572621	5.12
1582.742	3.0	rest	3	1582742	3.8
1591.543	3.0	rest	3	1591543	5.68
1602.224	3.0	right_hand	4	1602224	6.04
1613.265	3.0	left_hand	2	1613265	6.04
1631.547	3.0	left_hand	2	1631547	6.04
1662.791	3.0	left_hand	2	1662791	3.64
1677.632	3.0	rest	3	1677632	4.84
1687.473	3.0	both_hand	1	1687473	3.0
1710.196	3.0	right_hand	4	1710196	4.08
1745.961	3.0	right_hand	4	1745961	3.8
1754.762	3.0	rest	3	1754762	4.0
1763.763	3.0	left_hand	2	1763763	6.04
1781.765	3.0	right_hand	4	1781765	6.04
1792.806	3.0	rest	3	1792806	5.6
1823.77	3.0	right_hand	4	1823770	3.4
1838.772	3.0	both_hand	1	1838772	3.36
1847.133	3.0	left_hand	2	1847133	6.04
1872.416	3.0	rest	3	1872416	3.04
1880.456	3.0	left_hand	2	1880456	6.04
1891.497	3.0	right_hand	4	1891497	3.32
1906.739	3.0	right_hand	4	1906739	4.6
1916.34	3.0	right_hand	4	1916340	6.04
1944.703	3.0	right_hand	4	1944703	6.04
1955.744	3.0	right_hand	4	1955744	5.12
1965.865	3.0	left_hand	2	1965865	5.2
1976.066	3.0	left_hand	2	1976066	3.24
1984.307	3.0	right_hand	4	1984307	3.52
1998.909	3.0	left_hand	2	1998909	3.92
2013.671	3.0	left_hand	2	2013671	6.04
2024.712	3.0	left_hand	2	2024712	4.84
2047.915	3.0	right_hand	4	2047915	3.6
2071.758	3.0	right_hand	4	2071758	4.32
2094.32	3.0	left_hand	2	2094320	6.04
2105.361	3.0	right_hand	4	2105361	6.04
2123.043	3.0	right_hand	4	2123043	3.44
2131.484	3.0	left_hand	2	2131484	6.04
2142.525	3.0	left_hand	2	2142525	6.04
2153.566	3.0	right_hand	4	2153566	4.32
2162.887	3.0	left_hand	2	2162887	6.04
2173.928	3.0	right_hand	4	2173928	5.12
2190.93	3.0	right_hand	4	2190930	4.52
2200.451	3.0	right_hand	4	2200451	6.04
2211.492	3.0	left_hand	2	2211492	3.08
2225.014	3.0	left_hand	2	2225014	5.76
2235.775	3.0	left_hand	2	2235775	6.04
2246.816	3.0	right_hand	4	2246816	6.04
2257.857	3.0	left_hand	2	2257857	6.04
2283.34	3.0	left_hand	2	2283340	5.6
2293.941	3.0	left_hand	2	2293941	3.04
2301.982	3.0	right_hand	4	2301982	3.6
2317.944	3.0	left_hand	2	2317944	6.04
2328.984	3.0	left_hand	2	2328984	6.04
2340.025	3.0	right_hand	4	2340025	3.36
2348.386	3.0	left_hand	2	2348386	3.08
2361.788	3.0	left_hand	2	2361788	6.04
2372.829	3.0	right_hand	4	2372829	4.96
2389.311	3.0	left_hand	2	2389311	3.64
2397.952	3.0	right_hand	4	2397952	6.04
2408.993	3.0	left_hand	2	2408993	3.12
2417.114	3.0	left_hand	2	2417114	6.04
2441.397	3.0	left_hand	2	2441397	6.04
2452.438	3.0	right_hand	4	2452438	6.04
2463.479	3.0	left_hand	2	2463479	3.04
2471.52	3.0	right_hand	4	2471520	6.04
2482.561	3.0	left_hand	2	2482561	6.04
2499.883	3.0	right_hand	4	2499883	3.36
2515.525	3.0	right_hand	4	2515525	6.04
2526.566	3.0	right_hand	4	2526566	6.0
2537.567	3.0	left_hand	2	2537567	5.24
2547.808	3.0	left_hand	2	2547808	6.04
2558.848	3.0	rest	3	2558848	3.2
2567.049	3.0	both_hand	1	2567049	4.72
2616.616	3.0	both_hand	1	2616616	5.12
2632.458	3.0	both_hand	1	2632458	4.04
2647.3	3.0	rest	3	2647300	3.68
2655.981	3.0	both_hand	1	2655981	4.2
2665.182	3.0	both_hand	1	2665182	6.04
2676.223	3.0	rest	3	2676223	3.76
2696.626	3.0	both_hand	1	2696626	4.68
2725.91	3.0	rest	3	2725910	3.4
2746.992	3.0	both_hand	1	2746992	6.04
2763.834	3.0	rest	3	2763834	3.68
2780.236	3.0	rest	3	2780236	3.2
2788.437	3.0	both_hand	1	2788437	6.04
2799.478	3.0	rest	3	2799478	3.4
2807.879	3.0	both_hand	1	2807879	6.04
2818.92	3.0	rest	3	2818920	3.4
2856.205	3.0	rest	3	2856205	4.04
2870.647	3.0	rest	3	2870647	5.44
2888.609	3.0	rest	3	2888609	3.8
2917.093	3.0	rest	3	2917093	3.28
2925.374	3.0	both_hand	1	2925374	3.24
2948.176	3.0	rest	3	2948176	3.8
2963.378	3.0	rest	3	2963378	3.96
2978.9	3.0	rest	3	2978900	3.44
2987.341	3.0	both_hand	1	2987341	4.24
3003.423	3.0	both_hand	1	3003423	3.84
3012.264	3.0	both_hand	1	3012264	6.04
3036.227	3.0	both_hand	1	3036227	5.72
3059.83	3.0	rest	3	3059830	3.6
3068.431	3.0	both_hand	1	3068431	6.04
3099.155	3.0	both_hand	1	3099155	3.2
3114.197	3.0	both_hand	1	3114197	6.04
3151.641	3.0	left_hand	2	3151641	3.0
3171.764	3.0	right_hand	4	3171764	6.04
3199.568	3.0	both_hand	1	3199568	4.04
3213.93	3.0	right_hand	4	3213930	6.04
3224.971	3.0	left_hand	2	3224971	5.04
3245.894	3.0	both_hand	1	3245894	6.04
3301.582	3.0	right_hand	4	3301582	6.04
3312.623	3.0	both_hand	1	3312623	6.04
3350.907	3.0	both_hand	1	3350907	6.04
3361.948	3.0	left_hand	2	3361948	4.56
3394.432	3.0	left_hand	2	3394432	4.2
3409.914	3.0	both_hand	1	3409914	5.72
3420.635	3.0	left_hand	2	3420635	3.84
3434.837	3.0	both_hand	1	3434837	6.04
3451.279	3.0	right_hand	4	3451279	3.32
3459.6	3.0	rest	3	3459600	5.72
3470.321	3.0	left_hand	2	3470321	3.48
3491.964	3.0	rest	3	3491964	3.72
3500.685	3.0	left_hand	2	3500685	5.36
3525.208	3.0	right_hand	4	3525208	3.56
3541.249	3.0	left_hand	2	3541249	5.96
3552.21	3.0	right_hand	4	3552210	3.68
3560.891	3.0	rest	3	3560891	5.88
3585.494	3.0	right_hand	4	3585494	4.24
3608.017	3.0	both_hand	1	3608017	5.32
3643.262	3.0	left_hand	2	3643262	4.2
3652.463	3.0	right_hand	4	3652463	3.84
3667.705	3.0	both_hand	1	3667705	3.52
3676.226	3.0	rest	3	3676226	4.68
3685.907	3.0	both_hand	1	3685907	6.04
3711.35	3.0	left_hand	2	3711350	3.84
3727.152	3.0	right_hand	4	3727152	4.0
