onset	duration	trial_type	value	sample	triallength
2.0	3.0	left_hand	2	2000	6.04
32.924	3.0	right_hand	4	32924	4.2
42.125	3.0	left_hand	2	42125	6.04
60.687	3.0	right_hand	4	60687	6.04
84.33	3.0	right_hand	4	84330	6.0
127.416	3.0	left_hand	2	127416	6.04
145.938	3.0	left_hand	2	145938	6.04
170.101	3.0	left_hand	2	170101	6.04
188.423	3.0	right_hand	4	188423	5.28
198.704	3.0	left_hand	2	198704	6.04
214.905	3.0	left_hand	2	214905	6.04
225.946	3.0	right_hand	4	225946	6.04
236.987	3.0	right_hand	4	236987	6.04
248.028	3.0	left_hand	2	248028	5.84
258.869	3.0	left_hand	2	258869	6.04
293.753	3.0	left_hand	2	293753	6.04
304.794	3.0	right_hand	4	304794	5.76
387.686	3.0	right_hand	4	387686	6.04
398.727	3.0	left_hand	2	398727	6.04
416.848	3.0	left_hand	2	416848	4.32
433.93	3.0	right_hand	4	433930	5.08
444.011	3.0	left_hand	2	444011	3.72
466.454	3.0	right_hand	4	466454	6.04
477.495	3.0	left_hand	2	477495	6.04
488.536	3.0	right_hand	4	488536	6.04
499.577	3.0	left_hand	2	499577	6.04
510.618	3.0	left_hand	2	510618	6.04
521.659	3.0	right_hand	4	521659	6.04
532.7	3.0	right_hand	4	532700	4.52
542.221	3.0	left_hand	2	542221	3.6
589.548	3.0	right_hand	4	589548	6.04
600.589	3.0	left_hand	2	600589	6.04
619.111	3.0	left_hand	2	619111	6.04
630.152	3.0	left_hand	2	630152	6.04
641.192	3.0	both_hand	1	641192	3.28
688.639	3.0	both_hand	1	688639	3.08
696.72	3.0	both_hand	1	696720	4.64
827.498	3.0	both_hand	1	827498	3.56
836.059	3.0	rest	3	836059	5.64
874.104	3.0	rest	3	874104	3.48
882.585	3.0	rest	3	882585	3.36
924.591	3.0	both_hand	1	924591	4.24
940.593	3.0	rest	3	940593	6.04
965.876	3.0	both_hand	1	965876	4.24
975.117	3.0	both_hand	1	975117	4.12
997.44	3.0	rest	3	997440	6.04
1015.761	3.0	rest	3	1015761	5.2
1025.962	3.0	both_hand	1	1025962	3.84
1070.488	3.0	rest	3	1070488	4.36
1079.849	3.0	both_hand	1	1079849	5.68
1090.53	3.0	rest	3	1090530	4.88
1113.933	3.0	both_hand	1	1113933	4.2
1128.895	3.0	both_hand	1	1128895	5.96
1146.217	3.0	both_hand	1	1146217	6.04
1157.258	3.0	rest	3	1157258	5.52
1167.779	3.0	both_hand	1	1167779	4.36
1184.621	3.0	both_hand	1	1184621	3.36
1199.383	3.0	both_hand	1	1199383	6.04
1210.424	3.0	both_hand	1	1210424	3.2
1246.788	3.0	both_hand	1	1246788	6.04
1264.91	3.0	right_hand	4	1264910	3.4
1279.312	3.0	right_hand	4	1279312	6.04
1305.155	3.0	rest	3	1305155	6.04
1344.2	3.0	right_hand	4	1344200	5.76
1354.961	3.0	left_hand	2	1354961	4.32
1370.163	3.0	both_hand	1	1370163	5.8
1386.725	3.0	right_hand	4	1386725	6.04
1397.766	3.0	both_hand	1	1397766	6.04
1408.807	3.0	left_hand	2	1408807	3.24
1424.208	3.0	both_hand	1	1424208	4.2
1433.409	3.0	right_hand	4	1433409	3.2
1462.853	3.0	rest	3	1462853	6.04
1473.894	3.0	left_hand	2	1473894	3.64
1489.216	3.0	right_hand	4	1489216	6.04
1500.257	3.0	both_hand	1	1500257	6.04
1519.259	3.0	both_hand	1	1519259	3.36
1527.62	3.0	rest	3	1527620	3.72
1542.982	3.0	left_hand	2	1542982	3.96
1551.943	3.0	left_hand	2	1551943	3.8
1579.347	3.0	both_hand	1	1579347	3.76
1588.108	3.0	left_hand	2	1588108	6.04
1599.149	3.0	right_hand	4	1599149	3.08
1612.871	3.0	rest	3	1612871	3.52
1621.392	3.0	left_hand	2	1621392	5.88
1652.435	3.0	left_hand	2	1652435	4.0
1661.436	3.0	rest	3	1661436	6.04
1697.281	3.0	both_hand	1	1697281	5.2
1734.286	3.0	left_hand	2	1734286	3.16
1749.448	3.0	right_hand	4	1749448	5.08
1777.892	3.0	both_hand	1	1777892	3.72
1786.613	3.0	right_hand	4	1786613	6.04
1797.654	3.0	both_hand	1	1797654	3.68
1820.056	3.0	left_hand	2	1820056	6.04
1845.019	3.0	left_hand	2	1845019	6.04
1856.06	3.0	right_hand	4	1856060	3.56
1869.782	3.0	right_hand	4	1869782	3.44
1878.223	3.0	left_hand	2	1878223	6.04
1889.264	3.0	left_hand	2	1889264	6.04
1919.268	3.0	right_hand	4	1919268	3.6
1963.314	3.0	right_hand	4	1963314	6.04
1980.236	3.0	left_hand	2	1980236	3.44
1988.677	3.0	right_hand	4	1988677	3.36
2004.839	3.0	left_hand	2	2004839	3.24
2013.08	3.0	right_hand	4	2013080	5.36
2023.44	3.0	left_hand	2	2023440	6.04
2041.922	3.0	right_hand	4	2041922	6.04
2059.604	3.0	left_hand	2	2059604	6.04
2077.006	3.0	left_hand	2	2077006	4.08
2092.368	3.0	left_hand	2	2092368	4.88
2109.69	3.0	right_hand	4	2109690	4.72
2119.411	3.0	left_hand	2	2119411	4.16
2144.334	3.0	left_hand	2	2144334	4.32
2153.655	3.0	right_hand	4	2153655	6.04
2164.696	3.0	left_hand	2	2164696	4.56
2188.259	3.0	right_hand	4	2188259	3.44
2196.7	3.0	left_hand	2	2196700	5.0
2206.701	3.0	left_hand	2	2206701	5.0
2223.703	3.0	left_hand	2	2223703	4.24
2232.944	3.0	right_hand	4	2232944	3.28
2241.224	3.0	left_hand	2	2241224	4.32
2250.545	3.0	right_hand	4	2250545	4.64
2260.186	3.0	left_hand	2	2260186	5.4
2270.587	3.0	right_hand	4	2270587	4.44
2280.028	3.0	right_hand	4	2280028	5.2
2297.27	3.0	right_hand	4	2297270	6.04
2322.193	3.0	left_hand	2	2322193	3.72
2330.914	3.0	right_hand	4	2330914	4.72
2340.635	3.0	left_hand	2	2340635	4.76
2350.396	3.0	right_hand	4	2350396	6.04
2373.679	3.0	right_hand	4	2373679	6.04
2384.72	3.0	right_hand	4	2384720	3.08
2392.801	3.0	left_hand	2	2392801	5.8
2403.602	3.0	right_hand	4	2403602	6.04
2414.643	3.0	left_hand	2	2414643	4.32
2423.964	3.0	right_hand	4	2423964	6.04
2448.087	3.0	right_hand	4	2448087	6.04
2459.128	3.0	right_hand	4	2459128	6.04
2470.168	3.0	both_hand	1	2470168	3.6
2526.256	3.0	both_hand	1	2526256	6.04
2542.818	3.0	both_hand	1	2542818	3.16
2550.979	3.0	rest	3	2550979	3.44
2566.661	3.0	rest	3	2566661	5.52
2583.423	3.0	rest	3	2583423	6.04
2594.464	3.0	both_hand	1	2594464	5.24
2610.906	3.0	both_hand	1	2610906	4.2
2632.549	3.0	both_hand	1	2632549	3.76
2648.671	3.0	rest	3	2648671	6.04
2659.712	3.0	both_hand	1	2659712	5.6
2682.874	3.0	both_hand	1	2682874	3.92
2691.795	3.0	both_hand	1	2691795	3.12
2699.916	3.0	rest	3	2699916	3.64
2708.557	3.0	rest	3	2708557	6.04
2743.962	3.0	both_hand	1	2743962	6.04
2775.206	3.0	both_hand	1	2775206	4.68
2790.928	3.0	both_hand	1	2790928	3.64
2806.81	3.0	rest	3	2806810	6.04
2823.852	3.0	both_hand	1	2823852	6.04
2846.735	3.0	both_hand	1	2846735	3.08
2867.257	3.0	rest	3	2867257	4.88
2884.339	3.0	rest	3	2884339	6.04
2902.221	3.0	both_hand	1	2902221	5.04
2912.262	3.0	rest	3	2912262	5.16
2943.226	3.0	both_hand	1	2943226	4.48
2952.707	3.0	rest	3	2952707	6.04
2970.989	3.0	rest	3	2970989	4.08
2987.071	3.0	both_hand	1	2987071	3.16
2995.232	3.0	rest	3	2995232	6.04
3006.273	3.0	both_hand	1	3006273	3.32
3014.594	3.0	both_hand	1	3014594	4.84
